GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD02_VD188,Margin of Error; Total: - Licensed practical and licensed vocational nurses
HD01_VD189,Estimate; Total: - Medical records and health information technicians
HD02_VD189,Margin of Error; Total: - Medical records and health information technicians
HD01_VD190,"Estimate; Total: - Opticians, dispensing"
HD02_VD190,"Margin of Error; Total: - Opticians, dispensing"
HD01_VD191,Estimate; Total: - Miscellaneous health technologists and technicians
HD02_VD191,Margin of Error; Total: - Miscellaneous health technologists and technicians
HD01_VD192,Estimate; Total: - Other healthcare practitioners and technical occupations
HD02_VD192,Margin of Error; Total: - Other healthcare practitioners and technical occupations
HD01_VD193,"Estimate; Total: - Nursing, psychiatric, and home health aides"
HD02_VD193,"Margin of Error; Total: - Nursing, psychiatric, and home health aides"
HD01_VD194,Estimate; Total: - Occupational therapy assistants and aides
HD02_VD194,Margin of Error; Total: - Occupational therapy assistants and aides
HD01_VD195,Estimate; Total: - Physical therapist assistants and aides
HD02_VD195,Margin of Error; Total: - Physical therapist assistants and aides
HD01_VD196,Estimate; Total: - Massage therapists
HD02_VD196,Margin of Error; Total: - Massage therapists
HD01_VD197,Estimate; Total: - Dental assistants
HD02_VD197,Margin of Error; Total: - Dental assistants
HD01_VD198,Estimate; Total: - Medical assistants
HD02_VD198,Margin of Error; Total: - Medical assistants
HD01_VD199,Estimate; Total: - Medical transcriptionists
HD02_VD199,Margin of Error; Total: - Medical transcriptionists
HD01_VD200,Estimate; Total: - Pharmacy aides
HD02_VD200,Margin of Error; Total: - Pharmacy aides
HD01_VD201,Estimate; Total: - Veterinary assistants and laboratory animal caretakers
HD02_VD201,Margin of Error; Total: - Veterinary assistants and laboratory animal caretakers
HD01_VD202,Estimate; Total: - Phlebotomists
HD02_VD202,Margin of Error; Total: - Phlebotomists
HD01_VD203,"Estimate; Total: - Healthcare support workers, all other, including medical equipment preparers"
HD02_VD203,"Margin of Error; Total: - Healthcare support workers, all other, including medical equipment preparers"
HD01_VD204,Estimate; Total: - First-line supervisors of correctional officers
HD02_VD204,Margin of Error; Total: - First-line supervisors of correctional officers
HD01_VD205,Estimate; Total: - First-line supervisors of police and detectives
HD02_VD205,Margin of Error; Total: - First-line supervisors of police and detectives
HD01_VD206,Estimate; Total: - First-line supervisors of fire fighting and prevention workers
HD02_VD206,Margin of Error; Total: - First-line supervisors of fire fighting and prevention workers
HD01_VD207,"Estimate; Total: - First-line supervisors of protective service workers, all other"
HD02_VD207,"Margin of Error; Total: - First-line supervisors of protective service workers, all other"
HD01_VD208,Estimate; Total: - Firefighters
HD02_VD208,Margin of Error; Total: - Firefighters
HD01_VD209,Estimate; Total: - Fire inspectors
HD02_VD209,Margin of Error; Total: - Fire inspectors
HD01_VD210,"Estimate; Total: - Bailiffs, correctional officers, and jailers"
HD02_VD210,"Margin of Error; Total: - Bailiffs, correctional officers, and jailers"
HD01_VD211,Estimate; Total: - Detectives and criminal investigators
HD02_VD211,Margin of Error; Total: - Detectives and criminal investigators
HD01_VD212,Estimate; Total: - Fish and game wardens
HD02_VD212,Margin of Error; Total: - Fish and game wardens
HD01_VD213,Estimate; Total: - Parking enforcement workers
HD02_VD213,Margin of Error; Total: - Parking enforcement workers
HD01_VD214,Estimate; Total: - Police and sheriff's patrol officers
HD02_VD214,Margin of Error; Total: - Police and sheriff's patrol officers
HD01_VD215,Estimate; Total: - Transit and railroad police
HD02_VD215,Margin of Error; Total: - Transit and railroad police
HD01_VD216,Estimate; Total: - Animal control workers
HD02_VD216,Margin of Error; Total: - Animal control workers
HD01_VD217,Estimate; Total: - Private detectives and investigators
HD02_VD217,Margin of Error; Total: - Private detectives and investigators
HD01_VD218,Estimate; Total: - Security guards and gaming surveillance officers
HD02_VD218,Margin of Error; Total: - Security guards and gaming surveillance officers
HD01_VD219,Estimate; Total: - Crossing guards
HD02_VD219,Margin of Error; Total: - Crossing guards
HD01_VD220,Estimate; Total: - Transportation security screeners
HD02_VD220,Margin of Error; Total: - Transportation security screeners
HD01_VD221,"Estimate; Total: - Lifeguards and other recreational, and all other protective service workers"
HD02_VD221,"Margin of Error; Total: - Lifeguards and other recreational, and all other protective service workers"
HD01_VD222,Estimate; Total: - Chefs and head cooks
HD02_VD222,Margin of Error; Total: - Chefs and head cooks
HD01_VD223,Estimate; Total: - First-line supervisors of food preparation and serving workers
HD02_VD223,Margin of Error; Total: - First-line supervisors of food preparation and serving workers
HD01_VD224,Estimate; Total: - Cooks
HD02_VD224,Margin of Error; Total: - Cooks
HD01_VD225,Estimate; Total: - Food preparation workers
HD02_VD225,Margin of Error; Total: - Food preparation workers
HD01_VD226,Estimate; Total: - Bartenders
HD02_VD226,Margin of Error; Total: - Bartenders
HD01_VD227,"Estimate; Total: - Combined food preparation and serving workers, including fast food"
HD02_VD227,"Margin of Error; Total: - Combined food preparation and serving workers, including fast food"
HD01_VD228,"Estimate; Total: - Counter attendants, cafeteria, food concession, and coffee shop"
HD02_VD228,"Margin of Error; Total: - Counter attendants, cafeteria, food concession, and coffee shop"
HD01_VD229,Estimate; Total: - Waiters and waitresses
HD02_VD229,Margin of Error; Total: - Waiters and waitresses
HD01_VD230,"Estimate; Total: - Food servers, nonrestaurant"
HD02_VD230,"Margin of Error; Total: - Food servers, nonrestaurant"
HD01_VD231,Estimate; Total: - Dining room and cafeteria attendants and bartender helpers
HD02_VD231,Margin of Error; Total: - Dining room and cafeteria attendants and bartender helpers
HD01_VD232,Estimate; Total: - Dishwashers
HD02_VD232,Margin of Error; Total: - Dishwashers
HD01_VD233,"Estimate; Total: - Hosts and hostesses, restaurant, lounge, and coffee shop"
HD02_VD233,"Margin of Error; Total: - Hosts and hostesses, restaurant, lounge, and coffee shop"
HD01_VD234,"Estimate; Total: - Food preparation and serving related workers, all other"
HD02_VD234,"Margin of Error; Total: - Food preparation and serving related workers, all other"
HD01_VD235,Estimate; Total: - First-line supervisors of housekeeping and janitorial workers
HD02_VD235,Margin of Error; Total: - First-line supervisors of housekeeping and janitorial workers
HD01_VD236,"Estimate; Total: - First-line supervisors of landscaping, lawn service, and groundskeeping workers"
HD02_VD236,"Margin of Error; Total: - First-line supervisors of landscaping, lawn service, and groundskeeping workers"
HD01_VD237,Estimate; Total: - Janitors and building cleaners
